index_content,word,nature,content_type,index_word
1,东西,ns,pos,1
1,品牌,n,pos,6
1,信赖,n,pos,8
1,东西,ns,pos,9
1,整体,n,pos,10
1,个人感觉,n,pos,11
2,师傅,nr,pos,2
2,力,n,pos,3
4,自营,vn,pos,2
4,商品,n,pos,3
4,发货,n,pos,4
4,速度,n,pos,5
4,品质,n,pos,6
4,效果,n,pos,9
4,宝贝,nr,pos,10
4,小时,n,pos,13
4,热水,n,pos,14
4,自营,vn,pos,15
4,信赖,n,pos,17
4,自营,vn,pos,20
5,评价,n,pos,2
5,产品,n,pos,3
5,保温,n,pos,6
5,时间,n,pos,7
5,情况,n,pos,15
5,售后,n,pos,19
5,大姐,n,pos,20
5,服务,vn,pos,21
6,速度,n,pos,5
7,价格合理,n,pos,1
7,物美,nz,pos,4
7,价值,n,pos,5
8,老师,n,pos,1
9,习惯,n,pos,2
9,吊顶,n,pos,7
9,话,n,pos,9
9,遥控器,n,pos,11
9,电池,n,pos,12
9,哥,n,pos,14
9,空气,n,pos,20
9,净化器,n,pos,21
9,中,ns,pos,24
9,时间,n,pos,25
9,冰箱,n,pos,26
9,洗衣机,n,pos,28
9,小厨,n,pos,31
9,宝降,nr,pos,32
9,烟灶,n,pos,33
9,客服,n,pos,35
9,电话,n,pos,38
9,中,ns,pos,41
10,小哥,n,pos,2
10,工作,vn,pos,3
10,老房子,n,pos,6
10,费力,n,pos,9
10,楼,n,pos,13
10,热水,n,pos,14
10,裙子,n,pos,15
10,小哥,n,pos,18
10,品牌,n,pos,24
10,质量,n,pos,25
11,店家,n,pos,9
11,老板,n,pos,13
11,面,n,pos,14
12,变频,vn,pos,3
12,能效,n,pos,5
12,效果,n,pos,7
13,购物,n,pos,1
13,电器,n,pos,2
13,型号,n,pos,4
13,型号,n,pos,5
13,下线,n,pos,8
13,师傅,nr,pos,10
13,购物,n,pos,14
13,安装费,n,pos,17
13,花元,nr,pos,18
13,料,n,pos,21
13,伞,n,pos,23
13,麻烦,an,pos,25
14,物流,n,pos,1
14,师傅,nr,pos,8
14,效果,n,pos,10
14,售后,n,pos,11
15,价格,n,pos,2
15,产品质量,n,pos,3
15,货运,n,pos,4
15,调试,vn,pos,6
15,工作人员,n,pos,7
15,服务态度,n,pos,8
16,收费,n,pos,1
16,速度,n,pos,3
16,管道,n,pos,5
17,差点,n,pos,4
18,评价,n,pos,5
18,字,n,pos,7
19,人员,n,pos,3
19,专业,n,pos,4
